"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","Y"
2339.3,75,0.07,47.19,2.21,179.824921763719,27,1.01,110,50.0789,19.0766666666667,27.23,6.38,1.32,30.5,5.18,4,63.9,1014.3,56.628,"A",443.61
2369.18,72.9,1.13,54.93,6.45,183.963954861495,24,1.1,101,50.6456,20.12,27.36,5.92,0.96,29.4,4.88,5,48.6,1003.18,32.958,"A",436.06
2267.97,80.62,-0.03,74.62,1.29,175.787814042414,26,1.02,111,49.9413,18.1566666666667,27.47,2.29,0.92,31.4,4.67,3,70.72,1009.97,52.234,"A",443.25
2226.11,46.61,-0.31,72.52,1.07,190.017927575107,28,1.18,106,49.9364,14.8666666666667,14.6,1.79,0.79,32.6,4.75,3,39.31,1011.11,79.772,"B",464.16
2162.57,52.36,0.37,88.44,0.97,178.873706520529,33,1.37,101,49.8873,15.6366666666667,7.91,0.59,1.02,28.9,3.02,1,39.96,1023.57,44.22,"D",475.52
2348.14,53.49,0.64,92.28,1.65,200.461749852254,20,1.01,105,50.1954,11.9366666666667,5.81,5.3,0.61,33.9,5.2,4,35.79,1012.14,73.824,"C",484.41
2186.69,70.58,-0.53,41.85,0.85,173.04140172713,32,1.04,94,49.6861,18.1766666666667,30.53,0.82,1.03,32.2,3.73,2,65.18,1012.69,12.555,"A",437.89
2167.02,72.74,-0.32,44.28,0.65,175.013490564564,37,1.08,88,49.9735,15.9566666666667,23.87,0.43,3.87,28.4,3.35,3,63.94,1019.02,13.284,"D",445.11
2293.64,73.01,0.49,64.58,1.3,171.559006974248,29,0.96,105,50.3667,19.6966666666667,26.09,1.25,0.61,28.3,4.37,3,58.41,1013.64,25.832,"B",438.86
2368.11,75.95,-0.22,63.25,1.05,177.34605800857,23,1.07,103,50.3092,19.7566666666667,29.27,2.16,1.01,34.8,4.71,3,66.85,1011.11,170.775,"A",440.98
2167.08,92.46,0.77,78.61,1.89,157.220435760363,36,1.53,99,50.2456,23.1266666666667,27.38,0.34,2,24.9,3.19,3,74.16,1010.08,47.166,"B",436.65
2199.76,78.04,0.32,44.51,1.27,177.190275273079,28,1.04,99,49.8848,16.27,24.81,1.2,1.03,33.4,4.11,3,63.94,1018.76,26.706,"A",444.26
2116.29,49.93,-0.39,89.46,0.76,190.917031093247,30,1.13,103,49.8054,14.25,12.75,0.88,1.17,31.1,3.57,1,44.03,1007.29,98.406,"D",465.86
2347.4,76.13,-0.13,74.52,1.54,174.693034553103,28,0.93,98,50.4055,19.22,24.66,2.7,1.41,30.7,4.79,5,63.73,1011.4,81.972,"C",444.37
2124.08,51.55,-1.02,88.86,0.49,178.839613107408,34,1.1,91,49.6026,15.46,16.38,0.47,0.95,30.9,3.14,1,47.45,1010.08,17.772,"A",450.69
2104.69,46.85,-0.54,75.51,0.5,183.742586960671,36,0.87,86,49.8327,15.6366666666667,13.91,0.26,1.04,30.4,3.02,2,39.35,1014.69,7.551,"C",469.02
2320.04,60,-0.36,78.64,1.12,189.719766711719,26,1.41,105,49.9009,15.7266666666667,23.18,2.75,1.46,32.8,4.62,3,51.3,1012.04,180.872,"A",448.86
2220.62,56.15,-0.24,76.65,1.28,189.46832396392,26,1.3,106,50.1867,17.49,22.47,1.99,1.05,30.7,4.79,2,47.45,1007.62,153.3,"A",447.14
2221.24,55.65,-0.22,80.44,1.07,180.399286363428,32,1.44,90,50.1224,15.4633333333333,13.39,0.8,1.21,30.9,3.75,2,44.85,1017.24,40.22,"D",469.18
2305.33,50.14,-0.09,79.89,1.33,197.424038777136,22,1.01,117,49.8527,12.0933333333333,9.28,4.85,0.85,33.5,5.05,3,41.54,1018.33,119.835,"A",482.8
2251.12,52.06,-0.34,88.28,1.11,196.664341206834,27,1.12,98,50.1565,12.94,11.82,1.76,1.35,34.9,4.77,3,42.86,1014.12,158.904,"A",476.7
2260.63,48.84,-0.43,84.6,0.88,191.140902720893,27,0.89,101,49.9587,13.4233333333333,10.27,2.16,0.77,34.3,4.78,3,40.64,1020.63,67.68,"B",474.99
2169.28,73.94,-0.1,42.69,1.01,174.578133622861,32,1,101,49.7696,15.64,22.92,0.93,1.17,30.2,3.75,3,63.94,1019.28,29.883,"A",444.22
2238.24,51.77,0.22,78.41,0.9,191.92495424326,28,1,104,50.1222,16.3333333333333,16,1.06,1.11,27.8,3.96,3,37.87,1020.24,101.933,"A",461.33
2212.96,53.53,-0.2,61.07,0.69,190.971283827843,27,1,105,49.7797,16.0733333333333,21.22,1.63,0.75,33,4.59,2,43.43,1010.96,73.284,"B",448.06
2323.51,51.21,-0.38,50,1.13,188.462137359387,27,0.9,105,49.9725,14.4866666666667,13.46,1.53,1.1,34.2,4.54,4,44.71,1014.51,75,"A",474.6
2175.14,48.51,-0.39,77.29,1.02,190.20964703967,31,0.98,96,50.1557,14.13,9.39,1.05,1.44,31,4.1,3,40.11,1029.14,61.832,"D",473.05
2249.58,87.9,0.14,43.66,1.41,165.96961983189,30,0.86,97,50.1235,21.3566666666667,31.07,1.13,1.08,27.8,3.99,4,73.5,1010.58,17.464,"A",432.06
2196.71,54.42,0.19,83.8,1.02,184.91356453865,34,1.18,95,50.2482,16.2733333333333,12.82,0.43,3.13,25.3,3.4,3,38.62,1018.71,67.04,"A",467.41
2179.6,89.92,-0.12,66.47,1.08,169.885766464944,30,1.4,98,49.7657,18.8566666666667,32.57,1.13,1.15,32.3,4.04,2,78.92,1011.6,73.117,"A",430.12
2185.82,50.78,-0.09,93.09,0.73,182.627422424165,32,1.5,100,49.9578,12.7033333333333,8.11,0.65,0.95,29,3.42,1,42.18,1014.82,74.472,"B",473.62
2195.94,55.09,0.49,80.52,1.67,187.062791464967,33,1.62,95,50.212,16.64,13.92,0.63,1.94,27.2,3.48,2,39.39,1012.94,40.26,"B",471.81
1900.23,64.73,-0.65,68.99,0.66,175.38375360365,34,1.13,91,49.5995,15.68,23.04,0.41,1.12,30.1,2.81,1,59.43,1010.23,20.697,"A",442.99
2314.65,68.34,-0.67,57.27,0.47,177.34912771021,28,1.06,106,49.9884,18.1033333333333,27.31,1.65,0.83,33.3,4.42,2,64.44,1014.65,62.997,"D",442.77
2243.18,54.63,0.1,95.53,1.67,197.195514744691,28,0.96,97,50.1471,10.97,5.91,1.76,1.05,32.6,4.41,4,39.33,1010.18,85.977,"C",491.49
2301.68,69.68,-0.27,71.72,1.23,181.016186108151,27,0.86,109,50.0172,17.42,25.26,3.23,1.21,29.7,4.96,5,61.08,1013.68,136.268,"A",447.46
2168.25,70.44,0.01,57.88,1.04,171.307521700272,33,0.97,96,49.7043,19.3233333333333,27.97,0.76,1.04,30.5,3.34,3,58.84,1002.25,17.364,"B",446.11
2282.03,64.6,-0.08,63.34,1.13,177.658392936611,27,1.11,101,50.2036,19.6933333333333,26.08,2.07,0.64,34.1,4.76,3,52.3,1007.03,107.678,"A",442.44
2345.61,78.31,0.26,48.07,1.33,165.833581597321,28,0.92,103,49.9295,20.67,29.01,1.67,0.64,34,4.45,4,65.71,1013.61,24.035,"A",446.22
2102.67,60.2,0.44,91.87,1.9,187.829445260209,35,1.04,94,50.0139,15.06,12.18,0.3,5.67,26.7,3.15,3,40.1,1016.67,45.935,"A",471.49
2295.89,55.67,-0.04,87.27,0.92,187.964406210852,29,0.73,101,50.1903,14.5866666666667,13.76,1.2,1.26,29.9,4.18,4,45.87,1008.89,52.362,"A",463.5
2270.02,69.69,-0.01,64.4,1.32,175.76395431546,29,1.07,105,49.8956,16.5,25.5,1.65,0.71,29.9,4.39,4,58.79,1016.02,45.08,"C",440.01
2306.56,77.84,-0.02,43.4,0.97,167.321395731745,28,0.86,101,50.2613,21.42,28.26,1.44,0.72,30.7,4.24,4,65.34,1014.56,34.72,"A",441.03
1974.49,75.16,0.06,72.24,0.79,172.061330937924,36,1.36,92,49.7768,17.13,21.39,0.29,2.05,29.9,2.9,0,62.96,1019.49,43.344,"A",452.68
2378.43,51.29,-0.03,90.22,2.42,193.953165125725,25,1.4,112,50.067,11.42,7.26,12.08,1,30.7,5.05,4,40.69,1020.43,216.528,"A",474.91
2256.71,40.33,-0.51,74,1.17,205.456999231477,27,1.07,99,49.7435,10.5133333333333,10.54,1.43,0.78,34.5,4.37,3,34.03,1018.71,44.4,"A",478.77
2147.14,93.04,0.44,71.85,1.67,168.127424708587,31,1.48,102,50.0254,20.2366666666667,27.71,0.88,1.63,27.9,3.75,2,74.34,998.14,71.85,"A",434.2
2239.83,75.2,-0.64,86.62,0.82,179.164480336002,27,0.8,103,49.808,16.7033333333333,23.11,1.51,1.16,30.5,4.46,3,68.3,1017.83,147.254,"D",437.91
2206.61,44.21,-0.8,97.41,0.92,193.649533614103,29,0.88,100,49.8962,10.5033333333333,7.51,1.08,1.28,29.1,4,3,41.01,1024.61,38.964,"A",477.61
2226.65,87.57,-0.04,84.44,1.05,165.024158605846,31,0.99,94,50.2693,19.82,26.46,1.1,0.79,32.1,4.15,3,74.67,1016.65,25.332,"C",431.65
2238.58,86.94,0.33,81.55,1.32,165.592840416498,27,0.94,111,49.8405,20.78,29.34,1.95,0.7,29.2,4.49,4,74.34,998.58,65.24,"B",430.57
2249.82,48.08,-0.36,75.66,1.03,190.580319379231,29,1.11,103,49.8493,11.44,10.32,1.17,1.22,32.2,4.2,3,42.28,1008.82,60.528,"A",481.09
2185.56,77.52,0.63,79.41,1.37,176.217863699701,32,1.04,104,49.9775,17.58,22.74,0.85,1.42,26.2,3.47,3,61.02,1009.56,39.705,"A",445.56
2235.71,52.65,-0.05,58.91,1.25,199.07084755192,24,1.12,104,49.7186,12.4933333333333,13.48,2.08,0.76,33.8,4.64,3,39.85,1012.71,106.038,"A",475.74
2271.36,85.35,0.3,90.06,1.38,171.995550015993,27,0.93,104,50.0968,18.5066666666667,25.52,1.82,0.8,29,4.5,4,69.75,1010.36,90.06,"C",435.12
2357.39,94.15,0.93,79,5.21,177.996553770477,27,1.37,100,50.428,17.1933333333333,21.58,4.64,2.38,30.3,4.65,4,67.25,1017.39,126.4,"D",446.15
2246.31,98.06,0.6,69.47,1.85,168.688694448949,29,0.97,103,50.0357,18.22,27.66,1.8,1.48,28.1,4.29,4,76.86,1001.31,34.735,"B",436.64
2182.89,88.05,0.43,51.47,1.68,170.002793088411,32,1.87,85,50.2759,20.9866666666667,26.96,0.41,1.81,29.5,3.39,2,69.45,1013.89,5.147,"A",436.69
2266.53,58.48,0.51,83.13,1.56,185.466190648375,26,1.24,107,50.1704,15.0966666666667,12.29,1.61,0.81,28.2,4.23,2,42.18,1016.53,83.13,"A",468.75
2200.18,59.32,0.27,40.33,1.66,190.86264674068,30,0.94,101,50.0461,15.2866666666667,15.86,1.08,1.73,28.6,4.03,4,43.02,1012.18,32.264,"B",466.6
2123.42,60.58,0.54,81.69,0.79,175.079172891364,37,1.1,99,50.0205,17.6233333333333,13.87,0.45,1.14,27.6,2.74,2,45.08,1024.42,16.338,"A",465.48
2120.93,89.98,0.68,94.55,1.11,167.581187087287,32,1.04,98,50.1515,20.03,24.09,0.62,1.6,25.2,3.18,2,73.68,1014.93,37.82,"C",441.34
2152.53,77.25,-0.23,91.81,0.97,176.426072424245,31,1.46,92,50.2016,15.8166666666667,20.45,0.66,1.67,29.1,3.47,1,69.45,1012.53,73.448,"D",441.83
2222,61,0.55,63.62,2.08,187.628258372205,31,1.13,95,50.321,18.0233333333333,15.07,0.85,22.26,25.7,3.64,3,39.3,1019,57.258,"A",464.7
2192.6,87.35,0.75,49.35,1.03,176.274046285047,30,0.98,99,50.1974,19.9066666666667,32.72,0.84,1.49,28.4,3.54,3,69.75,1009.6,19.74,"A",437.99
2204.55,80.66,0.71,69.61,1.41,168.140409831167,30,1.01,103,50.1137,18.0766666666667,18.23,1.12,0.99,26.8,3.95,3,58.96,1015.55,34.805,"B",459.12
2172.56,74.74,-0.69,38.75,1,176.686334162823,30,1.35,103,49.7888,20.8533333333333,35.56,1.3,1.18,32.1,4.29,2,68.94,1006.56,54.25,"A",429.69
2031.57,59.03,-0.66,90.17,0.7,179.164894001665,39,1.35,86,49.4623,15.12,18.36,0.24,3.12,30.8,2.95,0,51.43,1010.57,54.102,"A",459.8
2195.81,74.75,0,81.24,1.07,176.258957207764,30,1.16,96,50.1715,17.7833333333333,26.35,0.82,1.62,27.8,3.75,3,64.05,1009.81,64.992,"A",433.63
2071.62,79.85,0.38,48.46,1.06,167.467382999391,35,1.19,99,49.8036,20.64,25.92,0.47,2.16,28.5,2.54,1,60.95,1014.62,33.922,"B",442.84
2120.49,49.36,-0.13,76.72,0.92,186.875500449382,34,1.32,99,49.6725,11.67,8.01,0.68,1.12,31.3,3.45,1,41.66,1014.49,23.016,"A",485.13
2224.09,66.82,0.14,51.16,1.28,184.61419154062,28,1.2,106,49.7818,14.5433333333333,19.63,1.61,1.06,30.7,4.28,2,52.72,1025.09,56.276,"A",459.12
2346.05,80.82,0.07,76.34,2.02,175.37415349418,23,1.17,103,50.1785,16.6733333333333,20.02,3.52,1.16,32.8,4.76,3,67.32,1012.05,175.582,"C",445.31
2241.7,46.12,-0.63,67.3,1.05,193.448104974389,29,1.06,99,49.7397,10.36,10.08,1.25,1.04,32.3,4.21,3,40.72,1022.7,26.92,"A",480.8
2212.23,73.08,-0.43,52.38,0.64,174.087201519931,32,0.98,101,50.0099,18.0766666666667,27.23,0.82,1.47,28.2,3.66,3,66.48,1005.23,31.428,"B",432.55
2273.42,74.47,-0.25,76.44,1.91,180.769357034521,28,0.95,97,50.1683,15.79,23.37,2.33,1.15,30.6,4.67,4,63.77,1013.42,45.864,"B",443.86
2111.3,65.41,-0.59,91.55,0.84,185.682202178322,32,1.08,94,49.4922,13.2466666666667,18.74,0.79,1.39,31.5,3.46,2,59.21,1018.3,27.465,"A",449.77
2092.19,56.39,0.25,71.9,1.18,183.226463006,33,1.4,93,49.7928,14.9366666666667,14.81,0.45,1.37,30.1,3.18,1,43.69,1017.19,21.57,"A",470.71
2261.93,62.4,-0.24,80.05,1.02,182.440351202396,29,0.92,95,50.3572,18.7,23.1,1.2,0.86,32.8,4.25,4,51.3,1011.93,56.035,"A",452.17
2155.6,52.18,-0.22,63.77,0.74,187.602662788069,37,0.93,85,50.1706,14.5733333333333,10.72,0.41,1.86,28.1,2.65,3,41.38,1021.6,12.754,"A",478.29
2176.96,90.94,0.4,62.26,1.61,174.762293348498,28,1.35,97,50.0266,18.82,29.46,1.22,0.76,32.9,4.04,2,71.94,1006.96,37.356,"B",428.54
2307.66,50.04,-0.05,89.04,1.17,189.710920905026,29,1.19,101,50.3236,14.7,8.1,1.37,1.21,32.5,4.3,3,40.64,1020.66,89.04,"A",478.27
2212.63,71.96,-0.41,58.02,1.41,168.728803396355,29,0.95,103,49.7858,19.0966666666667,27.29,1.87,0.63,32,4.47,4,62.66,1007.63,34.812,"A",439.58
2233.53,62.49,0.1,81.82,1.18,191.391427842082,24,0.83,106,49.771,13.7,17.1,1.87,1.02,31.1,4.57,5,49.69,1005.53,130.912,"B",457.32
2085.79,58.9,0.56,91.14,0.97,194.051000950063,37,1.15,91,50.1123,12.83,11.49,0.35,1.72,26.3,2.22,2,44.2,1018.79,0,"A",475.51
2172.85,71.99,-0.39,88.92,0.77,178.888542427531,30,0.92,99,50.1133,16.8966666666667,23.69,0.83,1.59,29.1,3.71,3,65.59,1010.85,71.136,"A",439.66
2180.03,50.19,-0.34,84.83,0.71,192.810908557552,31,1.23,98,49.7899,13.5033333333333,13.51,0.74,1.01,29.1,3.85,2,40.89,1011.03,84.83,"B",471.99
2099.1,51.25,0.07,91.76,0.71,198.134956696494,34,0.93,96,49.8781,12.2133333333333,9.64,0.41,1.37,28.2,3.12,2,39.35,1015.1,45.88,"B",479.81
2132.83,90.92,-0.09,86.56,0.98,167.798717736874,32,1.02,92,49.6471,16.55,25.65,0.72,1.25,31.8,3.54,2,78.92,1010.83,34.624,"C",434.78
2233.18,68.17,-0.58,57.21,0.95,178.798610685801,27,0.85,106,49.7968,16.1966666666667,21.59,1.36,1.08,29.6,4.19,4,61.87,1011.18,51.489,"B",446.58
2169.92,67.33,-0.04,54.25,0.92,176.040304653537,31,1.26,92,50.1095,19.3266666666667,27.98,0.76,1.48,32.1,3.66,2,58.33,1013.92,43.4,"A",437.76
2057.24,46.92,-0.38,63.8,0.89,192.018257657155,35,1,101,49.3841,14.2666666666667,18.8,0.58,1.89,25.6,2.61,2,39.72,1001.24,38.28,"A",459.36
2280.99,54.41,-0.11,33.71,1.46,183.318009540644,26,0.92,111,49.9814,16.0933333333333,18.28,2.18,0.85,30,4.67,4,44.71,1016.99,30.339,"A",462.28
2208.08,58.08,0.17,67.25,1.4,183.873376135916,32,1.78,98,50.0809,15.5166666666667,13.55,1.3,2.26,27,3.94,2,43.48,1016.08,67.25,"D",464.33
2202.71,62.11,0.31,60.11,0.67,177.466412140126,34,0.75,97,50.0918,19.6633333333333,22.99,0.52,1.43,27,3.25,3,46.21,1010.71,18.033,"A",444.36
2217.32,80.29,0.69,74.55,1.44,170.989050215381,32,1.75,94,50.3286,19.98,23.94,0.89,1.35,28.9,3.88,2,59.39,1014.32,22.365,"A",438.64
2021.69,45.43,0.1,67.34,0.79,192.61593677951,35,1.21,94,50.0152,15.58,13.74,0.47,1.2,25.9,2.53,1,34.03,1018.69,6.734,"C",470.49
2216.86,63.7,0.69,42.75,2.51,185.955228116105,31,1.19,102,50.0204,17.1,21.3,1.19,2.86,26,3.63,3,41.1,1001.86,29.925,"A",455.13
2305.06,80.03,0.35,55.2,3.51,174.28387207221,23,1.08,113,50.0976,19.18,27.54,10.73,0.96,30.2,5.32,5,66.93,1017.06,138,"A",450.22
2072.34,69.73,-0.73,83.61,0.54,180.356399763054,33,0.83,90,49.8696,16.27,24.81,0.39,1.71,26.6,3.33,3,63.73,1009.34,33.444,"B",440.43
2172.02,51.25,-0.23,88.78,0.95,182.05270634531,31,0.97,104,49.657,11.6566666666667,4.97,1.05,0.91,30.8,3.98,3,42.85,1014.02,35.512,"B",482.98
2213.19,66.48,0.18,100.12,3.43,179.550575426258,29,1.46,96,50.0198,14.0733333333333,15.22,2.7,0.61,33.7,4.41,3,50.88,1014.19,60.072,"B",460.44
2242.81,67.6,0.05,64.52,1.72,178.644911143023,31,1,101,50.2045,19.96,23.88,1.02,3.24,27,3.83,3,54.2,1012.81,70.972,"B",444.97
2097.2,80.07,-0.19,51.41,0.66,172.962373637909,34,0.84,84,50.0478,20.0033333333333,33.01,0.26,2.83,29.8,3.22,3,68.67,1005.2,10.282,"A",433.94
2270.28,79.58,-0.68,85.78,0.42,163.148185672817,30,0.79,96,49.8406,18.66,25.98,0.85,0.79,32.7,4.05,3,73.18,1012.28,34.312,"A",439.73
2175.89,97.98,0.72,75.41,1.85,161.991936307588,30,1.32,105,50.0985,21.3933333333333,28.18,1.46,0.67,30,4.19,2,73.88,1005.89,60.328,"A",434.48
2398.93,80.14,0.41,81.63,2.46,173.683776860791,27,1,105,50.6011,20.2233333333333,21.67,3.89,0.77,32.1,5.02,5,60.84,1017.93,146.934,"A",442.33
2250.26,52.49,-0.3,51.92,1.44,182.541119778643,30,1.38,97,50.1312,15.89,17.67,1.32,1.07,30,4.15,3,45.09,1014.26,31.152,"A",457.67
2222.8,68.36,-0.12,70.12,1.35,177.719283811767,29,1.14,99,50.0311,17.1233333333333,21.37,1.5,1.3,32.4,4.39,3,57.76,1018.8,70.12,"D",454.66
2294.71,86.15,0.67,53.83,1.53,166.790959586379,29,1.27,107,50.0079,20.5633333333333,28.69,1.34,0.97,29.6,3.95,3,67.25,1017.71,64.596,"A",432.21
2159.25,57.47,0.25,77.23,1.09,183.159436068489,33,0.93,93,49.8515,15.5366666666667,16.61,0.54,1.01,29,3.13,3,43.77,1012.25,7.723,"A",457.66
2415.27,72.96,-0.07,65.67,1.33,174.240989864946,26,0.94,110,50.02,20.3033333333333,27.91,3.7,0.67,34.5,4.96,4,63.76,1010.27,78.804,"A",435.21
2217.64,52.43,-0.55,71.18,0.85,179.779006627509,30,1.06,99,49.9838,16.99,20.97,1.13,0.81,30.4,4.04,3,47.43,1007.64,35.59,"A",448.22
2292.79,48.46,-0.31,81.96,0.8,192.092836756344,28,0.73,105,49.8549,13.6,10.8,1.32,1.12,31.6,4.2,4,41.66,1013.79,57.372,"D",475.51
2125.24,76.31,0.32,79.54,1.35,170.341579518082,33,1.88,101,49.752,16.87,20.61,0.62,1.31,26.8,3.38,1,62.91,1013.24,39.77,"A",446.53
2220.7,68.72,-0.05,47.09,1.63,180.216182928137,30,1.39,98,50.2843,19.4833333333333,25.45,1.98,1.13,31.4,4.44,3,57.32,1011.7,47.09,"A",441.3
2104.67,79.24,-0.1,57.69,1.28,166.201507299656,35,1.2,93,49.823,20.0533333333333,30.16,0.18,52.89,26.1,3.04,2,69.34,1007.67,28.845,"B",433.54
2215.45,43.84,-0.63,78.89,0.84,195.565592200911,29,1.02,108,49.708,9.66333333333333,4.99,1.32,1.17,30.1,4.2,3,39.04,1020.45,94.668,"A",472.52
2201.59,55.48,-0.07,85.29,0.94,181.858156146549,30,0.84,106,49.7752,13.5033333333333,10.51,1.19,1.06,27,4,4,44.78,1012.59,34.116,"A",474.77
2196.62,82.25,0.45,40.13,1.13,166.340877813706,31,1.18,105,49.8509,21.2633333333333,33.79,0.88,0.91,28.6,3.61,2,69.05,1001.62,12.039,"D",435.1
2319.92,68.5,-0.3,77.06,1.16,170.753937948086,28,1.11,107,49.9064,18.1133333333333,21.34,2.18,0.58,33.3,4.74,3,59.8,1016.92,69.354,"A",450.74
2210.32,82.96,0.44,67.38,1.32,167.465169315362,32,1.03,95,50.2413,19.8,23.4,0.89,1.39,30.5,3.72,3,65.06,1014.32,20.214,"B",442.7
2074.34,78.14,0.03,62.44,0.85,168.072372871083,35,1.22,97,49.6999,19.7366666666667,32.21,0.66,0.94,30.5,3.21,1,68.14,1003.34,6.244,"B",426.56
2107,47.82,-0.98,77.43,0.23,188.653020870889,34,0.66,97,49.6312,13.7533333333333,14.26,0.38,1.01,29.2,3.62,2,42.32,1016,23.229,"A",463.71
2124.85,74.03,-0.43,58.77,1.03,176.440850686965,31,0.97,95,49.481,16.2366666666667,27.71,0.77,2.79,28.9,3.65,3,66.93,1016.85,35.262,"B",447.06
2243.02,70.46,0.03,67.72,1.67,177.719283811767,27,0.89,102,49.7353,15.3166666666667,21.95,2.19,0.67,32.6,4.58,4,57.76,1018.02,40.632,"C",452.27
2226.49,91.94,0.91,42.14,3.61,173.707419739456,31,1.52,95,50.2964,19.5866666666667,25.76,0.98,1.96,29.7,3.86,3,63.94,1018.49,42.14,"B",445.78
2114.93,80,-0.18,84.16,0.92,171.860412792328,35,1.53,87,50.1423,18.8933333333333,23.68,0.44,2.12,27.8,3.32,2,68.3,1017.93,42.08,"B",438.65
2245.55,53.47,0.05,89.79,4.18,191.018851845983,25,1.44,111,49.7892,10.76,8.28,7.42,0.83,30.3,4.81,3,40.77,1011.55,188.559,"A",480.15
2255.46,74.42,-0.03,67.21,1.5,174.489421107539,25,0.86,104,49.8239,16.8133333333333,23.44,2.42,0.54,33.5,5.07,4,62.52,1016.46,60.489,"A",447.19
2148.47,63.41,0.44,72.14,1.03,179.965700363244,33,1.07,100,49.9036,19.44,25.32,0.82,1.24,28.7,3.58,2,48.41,1008.47,14.428,"C",443.04
2248.06,50.3,-0.21,97.49,1.03,192.801526016318,30,1.4,95,50.1345,10.3133333333333,3.94,1.09,1.54,30.4,3.88,2,39.9,1008.06,87.741,"D",488.81
