X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
2198.04,50.44,-0.11,66.84,0.93,189.3562295,29,1.22,105,49.6615,11.90666667,11.72,1.34,0.79,31.7,4.3,2,41.54,1020.04,46.788,A
2174.39,58.8,0.35,91.81,1.07,194.9925871,33,0.97,89,50.1525,11.81,8.43,0.43,2.01,27.7,3.41,3,40.6,1015.39,18.362,A
2119.01,49.66,-0.41,65.62,0.58,181.1838608,36,0.8,89,49.863,16.39333333,16.18,0.41,0.95,30.7,3.36,3,41.66,1010.01,6.562,C
2019.77,66.6,0.06,80.32,0.95,182.6274553,36,1.36,96,49.9683,14.44333333,13.33,0.56,1.41,31.1,3.37,1,54.3,1016.77,48.192,B
2361.46,74.66,0.9,56.65,2.34,180.7894019,22,1.18,109,50.5565,22.72666667,26.18,11.46,0.6,29.9,5.08,4,52.36,1013.46,107.635,B
2292.18,52.57,0.24,72.47,1.21,188.2690853,28,1.26,105,50.1986,14.85666667,8.57,1.58,0.74,30.9,4.47,3,41.17,1020.18,43.482,A
2226.68,67.65,-0.41,59.71,1.31,187.9308077,26,1.02,97,49.9056,14.07333333,21.22,1.62,1.45,29.8,4.32,3,59.15,1014.68,47.768,D
2213.77,75.28,0.1,64.37,1.12,175.2098403,28,1.26,101,49.9769,16.84333333,26.53,1.15,0.9,32.3,4.04,2,65.18,1012.77,38.622,A
2368.77,52.5,-0.02,92.26,1.9,200.2558208,23,0.87,100,50.5314,13.11333333,12.34,3.64,1.35,29.4,5.04,6,40.1,1015.77,175.294,A
2289.19,52.17,-0.23,78.93,0.91,184.8368543,30,1.18,98,50.1868,18.51333333,19.54,1.27,0.99,33.4,4.22,2,44.57,1007.19,63.144,B
2145.19,46.84,-0.6,87.34,0.7,183.2750537,33,1.13,99,49.7705,14.22666667,9.68,0.64,1.08,29.2,2.97,1,41.44,1015.19,61.138,A
2234.9,87.04,0.71,86.05,2.11,174.0557948,26,1.01,106,50.0773,16.06333333,18.19,1.71,0.82,30.1,4.44,4,66.54,1012.9,111.865,B
2258.99,86.94,0.49,49.61,1.17,175.8286335,30,0.97,101,50.0952,19.41666667,31.25,1.1,1.45,30,3.84,4,68.94,1005.99,39.688,A
2089.94,86.88,0.21,78.24,1.06,163.8414987,35,1.31,94,50.0076,19.93333333,26.8,0.29,1.42,29.4,2.95,1,72.58,1008.94,31.296,A
2343.49,53.56,0.17,63.14,1.33,191.6185335,28,1.2,100,50.5252,16.60666667,16.82,1.7,0.97,34.3,4.71,3,41.66,1010.49,69.454,B
2047.53,73.79,-0.08,44.83,0.93,176.2886847,34,1.18,96,49.7106,17.84,29.52,0.68,1.06,30.2,3.1,1,64.79,1017.53,8.966,B
2125.33,88.19,0.63,78.85,1.15,164.0809993,35,1.4,101,50.0395,19.97666667,26.93,0.52,1.47,27.8,3.21,1,72.99,1007.33,15.77,A
2198.06,48.5,-0.73,87.35,0.79,191.3837138,30,0.99,96,49.8323,12.15,9.45,1.21,0.74,30.6,4.27,3,41.4,1027.06,61.145,A
2337.6,58.04,0.28,89.09,1.75,179.0052025,29,0.93,105,49.9638,15.66,13.98,1.8,1.06,29.8,4.23,4,44.84,1023.6,53.454,B
2282.43,86.82,0.33,66.49,1.44,174.8989393,30,1.05,102,49.994,18.71666667,29.15,1.31,1.78,30,4.02,4,73.42,1011.43,53.192,C
2170.43,47.81,-0.46,69.09,0.59,192.1247893,30,0.89,103,49.5763,12.42666667,10.28,0.95,0.9,32.1,3.99,2,39.61,1020.43,75.999,A
2321.86,79.47,0.57,97.02,1.5,167.859927,25,0.89,110,49.9598,18.08,21.24,1.55,0.9,28.8,4.3,5,63.47,1011.86,77.616,D
2305.01,52.6,0.08,78.59,1.24,194.2330992,23,1.22,108,50.1891,12.80333333,11.41,4.77,0.8,31.1,5.02,3,41.4,1019.01,94.308,D
2213.85,60.52,0.46,59.32,2.59,185.3143783,28,1.29,99,50.0729,18.71666667,20.15,2.76,1.08,28.5,4.13,3,39.72,1001.85,83.048,A
2162.04,49.37,-0.2,73.13,1,193.400992,30,1.09,103,49.617,11.79666667,11.39,0.97,1.41,29.6,3.71,2,40.27,1009.04,65.817,A
2180.6,64.18,0.4,61.33,1.05,179.1653454,33,1.09,101,49.9987,19.35666667,22.07,0.6,1.1,29,3.44,2,50.78,1008.6,18.399,A
2119.56,78.48,-0.06,61.3,0.94,176.839016,31,1.18,93,49.8461,17.42666667,28.28,0.8,1.08,31.6,3.47,1,69.48,1008.56,18.39,A
2379.9,54.96,0.49,83.83,1.6,187.7116602,24,1.24,124,49.9652,13.32,9.96,3.82,0.78,30.3,4.91,3,41.26,1022.9,142.511,A
2208.84,47.77,-0.81,71.53,0.82,190.4521512,30,1.08,100,49.7346,16.23,21.69,1.03,0.84,33,3.92,2,44.57,1005.84,28.612,A
2224.26,53.81,0.07,82.4,1.1,184.1995002,27,1.17,109,49.6932,13.64333333,13.93,1.29,0.8,31,4.11,2,44.21,1022.26,107.12,D
2306.41,74.43,0.09,83.06,1.34,183.7426798,28,0.91,98,50.3613,15.87666667,23.63,1.76,1.25,33.5,4.78,5,60.93,1006.41,49.836,B
2168.42,57.15,-0.92,54.61,0.82,179.6164109,32,1.19,97,49.6551,15.46333333,16.39,0.8,1.01,31.7,3.77,2,52.75,1024.42,38.227,A
2145.15,56.2,0.13,85.93,1.27,189.704121,32,1.17,103,49.6035,12.64333333,13.93,0.91,2.71,27.2,3.66,3,44.9,1022.15,68.744,A
2199.94,50.26,-0.08,84.42,0.99,191.0525982,33,1.2,100,49.8694,13.83333333,14.5,0.75,1.17,27,3.56,3,41.76,1023.94,50.652,D
2119.63,74.72,-0.42,81.89,0.76,168.0489432,36,0.89,89,49.7747,16.28,18.84,0.52,1.12,29.2,3.03,3,67.32,1012.63,8.189,B
2274.06,72.17,-0.58,58.13,1.69,183.5315747,21,0.83,105,49.8819,16.06333333,27.19,13.71,0.87,29.7,5.27,6,64.27,1013.06,156.951,A
2131.96,76.32,-0.41,87.73,0.81,165.9744167,34,1.18,91,49.8847,16.98333333,20.95,0.48,1.19,29.9,3.06,2,70.72,1009.96,26.319,A
2233.3,48.72,-0.68,56.62,0.64,186.1693985,29,0.52,96,49.9953,15.83,14.49,1.34,0.63,30.1,4.53,4,41.92,1030.3,28.31,A
2329.77,81.14,-0.31,88.86,3.03,170.084957,24,1.36,107,50.202,19.25666667,24.77,100,1.36,31,5.74,4,71.94,1006.77,213.264,A
2222.39,57.98,0.02,86.2,0.75,176.0152978,32,0.95,104,50.1979,19.04666667,21.14,0.78,1.42,26.8,3.94,3,48.78,1020.39,51.72,A
2098.03,66.97,-0.19,59.75,0.8,171.5002432,37,1.32,91,50.0268,19.46666667,28.4,0.38,1.07,29.1,2.94,1,59.27,1012.03,5.975,A
2145.72,72.96,-0.28,67.28,0.83,175.059694,30,0.85,98,49.7195,14.89666667,17.69,0.9,0.92,29.4,3.63,3,65.46,1013.72,26.912,D
2249.54,69.14,-0.67,89.94,0.75,176.3195614,28,0.67,100,49.9385,15.79666667,23.39,2,0.91,29.1,4.81,4,63.94,1010.54,44.97,B
2171.67,49.67,-0.84,62.73,0.08,189.2647506,36,0.49,86,49.8775,16.99333333,20.98,0.05,1.68,30.8,3.35,2,43.77,1010.67,12.546,A
2117.35,51.67,0.16,80.56,0.87,185.8919504,35,1.26,96,50.0173,13.41333333,7.24,0.7,1.37,29,3.5,2,41.17,1020.35,24.168,B
2188.71,78.41,0.05,70.91,1.05,171.514633,28,0.96,96,49.8948,16.39,22.17,1.19,0.94,32.7,4.03,3,65.61,1014.71,35.455,B
2200.53,57.47,0.33,48.86,3.69,191.6093356,29,1.55,103,49.919,15.41,19.23,3.15,2.01,30.6,4.46,3,41.67,1012.53,58.632,A
2190.55,53.15,-0.02,65.14,0.96,185.0761265,32,1.04,99,50.1192,15.60666667,10.82,0.84,1.46,27.6,3.49,3,41.55,1004.55,45.598,D
2267.86,58.86,-0.16,94.87,0.94,182.8990019,29,1.02,102,50.2098,16.56666667,16.7,1.42,0.9,33.1,4.45,3,50.66,1014.86,66.409,A
2138.13,65.59,0.41,91.29,1.36,176.6016267,31,1.66,103,49.9909,17.61,19.83,0.89,1.22,26.8,3.71,1,51.19,1008.13,73.032,A
2145.84,81.7,-0.33,64.43,0.85,164.9226839,31,1.03,100,49.5714,18.99666667,29.99,0.82,0.86,31.2,3.68,2,74.9,1003.84,25.772,D
2196.71,70.77,-0.21,69.85,0.74,168.00628,32,1.12,93,50.2467,20.34,25.02,0.69,0.86,30,3.77,2,60.77,1016.71,20.955,A
2136.61,45.42,-0.52,90.6,0.86,195.3596618,35,1.13,92,49.9881,11.95,8.85,0.57,1.12,30.3,3.5,2,40.22,1008.61,18.12,A
2302.17,55.11,0.19,84.25,1.89,193.3627058,25,1.11,104,49.9819,11.29,9.87,2.71,1.32,32.4,4.72,4,40.81,1017.17,101.1,A
2225.02,86.83,0.4,87.2,1.24,169.0049306,28,1.07,107,49.9984,19.01333333,24.04,1.55,0.84,31.4,4.43,3,72.43,1008.02,69.76,C
2180.53,82.13,0.09,89.64,1.23,170.588504,34,1.29,89,50.1024,17.81666667,26.45,0.57,1.51,30.3,3.38,2,69.13,1001.53,17.928,A
2151.88,68.29,0.06,52.95,0.99,184.7498427,31,1.16,88,50.1443,18.19333333,27.58,0.69,1.36,31.7,3.45,2,57.19,1007.88,15.885,A
2274.64,64.99,0.06,87.47,1.23,184.2175572,26,1.1,110,50.0467,15.51,16.53,2.73,1.08,31.5,5.14,3,53.29,1018.64,183.687,C
2236.62,79.83,0.7,59.71,1.72,174.9153543,29,1.33,107,50.3538,22.74666667,29.24,2.26,0.91,28.6,4.55,3,60.23,1009.62,35.826,A
2160,48.5,-0.4,66.27,0.44,194.1395575,33,0.7,91,50.1732,16.17333333,15.52,0.32,2.24,30.3,3.58,3,40,1017,53.016,C
2108.79,77.59,-0.18,56.51,0.89,177.7645463,31,1.21,89,50.074,18.49,28.47,0.7,1.19,32.1,3.66,2,67.69,1004.79,16.953,B
2243.11,43.16,-0.21,75.25,1.02,198.5393207,26,0.93,109,49.8317,11.75666667,8.27,1.42,0.9,27.8,4.24,3,35.76,1020.11,90.3,A
2328.79,79.09,0.08,54.31,2.18,172.3808075,27,1.02,105,50.5083,20.91666667,26.75,9.02,1.1,31.7,5.43,4,64.79,1017.79,92.327,D
2253.07,90.94,0.66,98.55,2.44,163.145717,31,2.23,101,50.122,18.54666667,22.64,1.4,1.56,30.9,4.04,2,72.24,1011.07,78.84,A
2126.73,79.74,0.45,85.84,0.96,166.7134908,34,1.1,101,49.8104,16.53,19.59,0.54,1.03,26.4,2.53,2,66.54,1012.73,17.168,B
2277.46,51.78,0.09,99.59,0.98,184.5199346,29,1.18,100,50.0742,17.18666667,18.56,1.22,0.77,33.6,4.09,2,42.18,1001.46,39.836,A
2251.02,54.33,0.01,88.11,1.31,182.9426096,25,1.18,115,50.2473,15.11666667,9.35,2.85,0.54,28.4,4.68,3,44.03,1011.02,123.354,B
2137.02,90.89,0.74,67.13,1.56,169.1687822,32,1.22,98,50.1146,19.5,28.5,0.61,2.1,25.6,3.44,3,72.99,1007.02,26.852,C
2257.07,84.97,0.03,88.39,1.23,170.7805607,26,1.26,105,50.0818,18.80666667,23.42,2.08,0.9,32.3,4.62,2,73.17,1012.07,150.263,A
2283.73,79.1,-0.03,86.92,1.58,178.7348293,25,1.29,102,50.0969,15.55333333,22.66,2.5,1.01,35.2,5,3,68.3,1017.73,121.688,D
2135.44,79.95,-0.53,53.59,0.9,174.8060532,33,0.96,94,49.7277,18.66666667,32,0.67,1.69,29.6,3.22,2,71.85,1008.44,32.154,B
2150.83,76.54,0.11,71.91,1.06,177.8328683,33,1.27,91,50.1251,16.03666667,21.11,0.34,3.42,26.9,3.08,2,65.94,1009.83,35.955,A
2325.44,80.34,0.03,72.06,1.94,170.6329564,29,0.78,100,50.0299,17.78,26.34,3.54,0.65,29.3,4.78,4,69.04,1009.44,36.03,B
2136.14,62.28,0.48,35.7,1.07,185.130668,32,1.17,90,50.1516,17.98,20.94,0.69,1.3,31.6,3.37,2,44.78,1008.14,14.28,A
2100.07,71.79,0.09,84.15,0.85,176.7328684,34,0.97,96,49.8399,17.84666667,20.54,0.74,1.45,29.4,3.2,2,59.39,1014.07,33.66,C
2276.21,46.74,-0.52,85.56,1.28,205.0298245,21,0.83,105,49.8782,9.72,8.16,6.37,1.22,31.4,5.23,5,39.64,1011.21,248.124,A
2294.31,102.6,0.97,74.01,5.98,168.2970611,28,1.21,101,50.3994,21.70333333,29.11,3.2,1.14,28.4,4.36,4,74.9,1003.31,59.208,B
2175.34,74.06,0.31,72.1,1.24,181.7179677,29,1.11,97,49.8095,15.72,20.16,1.08,1.14,32.2,3.93,2,57.76,1019.34,36.05,B
2073.19,78.51,-0.25,55.69,0.87,169.98778,34,1.03,97,49.8501,18.29,24.87,0.59,1.5,27,2.89,2,68.61,1011.19,38.983,B
2227.92,68.32,-0.2,73.95,1.17,183.4758759,25,1.16,98,50.1258,16.62,25.86,1.69,0.83,35.4,4.83,3,59.92,1009.92,51.765,A
2026.58,79.18,-0.67,74.83,0.73,169.080847,34,1.17,95,49.5771,19.08666667,27.26,0.52,1.22,31.2,3.1,1,73.18,1012.58,52.381,A
2290.79,93.74,0.74,67.31,3.29,158.6912801,28,2.2,103,50.4541,23.53,28.59,3.66,0.66,28.1,4.31,2,69.84,1003.79,94.234,B
2223.96,50.82,0.03,90.53,0.87,188.672534,30,1.04,96,49.9282,11.91666667,8.75,0.98,0.87,32.4,3.95,3,40.22,1008.96,27.159,A
2276.68,47.04,-0.58,86.91,0.73,194.9541876,27,0.67,100,49.9675,12.03666667,9.11,2.6,0.88,35.6,4.86,4,40.64,1020.68,52.146,A
2271.55,86.64,0.42,84.1,1.45,174.5176342,28,1.12,100,50.3973,18.66,22.98,1.54,1.46,30.3,4.36,3,69.84,1005.55,100.92,B
2066.91,58.61,0.49,81.03,0.98,187.6959659,34,0.99,99,49.9211,13.76,11.28,0.52,1.53,23.4,2.6,2,43.41,1017.91,24.309,D
2319.41,94.1,0.4,72.31,2.05,171.3523442,27,0.98,101,50.0431,18.70666667,26.12,3.1,0.8,35.4,5.02,4,75.6,1017.41,57.848,A
2221.95,80.81,-0.01,50.09,1.26,179.9132834,26,0.9,98,50.1122,18.96666667,32.9,1.71,1.23,29.5,4.56,4,68.51,1012.95,30.054,A
2179.43,61.11,0.5,35.4,1.19,181.4474176,31,1.16,99,50.2189,17.77,17.31,0.84,1.46,26.5,3.53,2,44.71,1017.43,28.32,A
2152.75,51.75,-0.42,89.67,0.9,188.6556542,31,0.94,96,49.8734,10.75,5.25,0.78,1.68,27,3.27,3,42.85,1013.75,53.802,C
2198.77,71,-0.42,86.05,0.97,185.4936037,28,1.15,97,49.9329,14.52333333,22.57,1.42,1.22,32.3,4.39,3,62.4,1009.77,77.445,B
2355.45,60.52,-0.14,93.12,1.1,184.9723852,25,1.28,100,50.3764,16.80333333,20.41,2.41,0.69,34.2,4.93,3,50.32,1008.45,102.432,A
2128.62,51.33,0.15,89.64,0.83,195.0666587,33,1.2,97,49.9966,13.09666667,12.29,0.5,1.84,27.3,2.84,1,40.03,1017.62,35.856,A
2250.02,76.04,-0.62,62.14,0.97,175.3229345,30,1,98,49.9866,17.1,24.3,1.15,1.17,33,4.11,3,69.94,1007.02,62.14,A
2158.5,55.72,0.24,91.42,1.02,190.232168,31,1.09,100,49.8532,12.85333333,11.56,0.98,1.13,27.2,3.72,3,41.62,1012.5,73.136,A
2184.5,53.66,0.33,85.09,1.28,188.7226446,32,1.41,102,50.1557,15.73666667,14.21,1.06,0.81,31,4.06,2,39.16,1016.5,42.545,B
1986.27,75.62,-0.66,70.22,0.68,179.688943,37,1.17,83,49.822,16.32,24.96,0.38,2.69,30.5,3.15,2,68.12,1011.27,28.088,A
2159.77,81.1,0.17,83.17,0.98,169.5414819,33,1.27,101,49.9635,19.38666667,28.16,0.79,1.57,31.5,3.7,2,70.4,1003.77,66.536,B
2289.75,59.33,0.14,61.54,1.28,184.4005749,26,0.81,109,50.0045,18.62,22.86,3.43,1.03,32.1,5.15,5,47.43,1009.75,67.694,B
2279.23,51.78,-0.69,83.98,0.96,192.3536513,30,0.8,103,49.9345,12.81,14.43,1.49,1.53,27.9,4.19,4,45.08,1023.23,67.184,A
2134.17,75.19,-0.52,55.5,0.86,179.0558142,33,1.08,89,49.8067,17.76666667,29.3,0.73,2,32,3.58,2,67.69,1007.17,27.75,D
2116.24,55.8,0.29,69.71,1.04,183.51047,33,1.18,94,49.9176,18.53666667,22.61,0.7,0.98,31.6,3.42,1,42.8,1014.24,13.942,A
2259.67,71.11,0.33,96.42,1.4,176.8401926,26,1.11,115,49.9345,16.61,19.83,2.16,0.9,29.6,4.62,3,59.21,1012.67,125.346,A
2268.01,67.92,-0.58,73.75,1.14,176.8601592,26,1.21,102,49.9679,17.72333333,26.17,4,0.8,31.6,4.92,3,59.92,1010.01,132.75,A
2178.65,58.17,-0.09,88.8,0.93,182.8465635,31,1.21,101,49.7349,11.92666667,5.78,0.81,1.07,28.6,3.53,2,45.87,1012.65,79.92,A
2282.68,46.76,-0.69,77.84,1.02,191.7877558,28,1.14,101,49.8705,10.92333333,8.77,1.83,0.61,35,4.79,3,40.46,1019.68,77.84,A
2244.88,79.63,0,69.43,1.1,175.731876,26,1.07,105,49.9488,16.16,24.48,2.63,0.66,31.6,5.01,3,69.13,1002.88,48.601,B
2254.75,55.2,0.11,85.53,1.44,199.271715,27,0.92,96,50.4015,14.09666667,15.29,1.87,1.49,32.8,4.72,5,41.1,1005.75,68.424,A
2150.31,53.59,-0.03,98.06,0.8,188.1367252,31,0.94,88,50.1407,14.14666667,9.44,0.65,1.28,31.1,3.43,3,43.99,1020.31,39.224,A
2341.51,61.31,0.38,66.95,1.08,185.9492147,27,0.72,107,50.3006,18.8,26.4,1.59,1.23,27.6,4.3,5,48.41,1008.51,40.17,B
2214.22,67.95,-0.36,75.09,0.89,170.5442116,31,0.9,95,50.0828,18.31666667,21.95,0.86,0.97,27.8,3.56,4,60.95,1015.22,30.036,B
2121.71,75.18,0.19,67.46,1.08,175.4434211,36,1.09,91,50.1055,17.47333333,22.42,0.46,2.81,25.5,3.22,3,60.08,1017.71,13.492,A
2236.55,76.88,0.02,59.02,1,171.5826819,32,0.96,94,49.9823,18.10666667,24.32,0.84,1.22,32.8,3.99,3,65.48,1017.55,17.706,A
2223.37,76.91,-0.65,50.64,0.45,175.7602898,25,0.7,100,50.0071,19.05,30.15,1.82,0.83,34.2,4.57,3,72.51,1009.37,35.448,C
2239.5,50.82,-0.04,77.94,0.94,188.382608,30,0.99,93,50.145,13.28666667,6.86,1.02,1.43,30.3,4.01,3,40.02,1031.5,31.176,B
2396.26,52.27,-0.55,89.44,0.99,192.1517321,26,1.09,100,50.0912,13.82,14.46,3.2,0.97,37.7,5.24,3,45.87,1008.26,89.44,D
2337.77,55.81,0.36,93.44,1.63,190.9919286,27,1.15,108,50.0579,11.57666667,4.73,2,0.92,32.8,4.52,3,41.31,999.77,93.44,A
2138.16,45.98,-0.3,70.77,0.86,193.3407409,32,0.99,99,49.6663,12.42333333,10.27,0.67,1.26,27.2,3.13,2,38.38,1022.16,49.539,D
2236.94,71,0.56,65.86,1.91,181.7776792,25,0.93,109,49.9898,15.79,20.37,2.3,1.13,29.3,4.59,5,54.9,1016.94,85.618,B
2073.56,52.12,-0.18,85.26,0.86,183.7936598,35,1.04,89,50.0075,13.70666667,8.12,0.58,1.07,30.3,3.16,2,43.02,1013.56,17.052,A
2215.98,74.84,-0.47,65.55,1.11,174.3402409,29,0.91,101,49.7997,16.52333333,28.57,1.33,0.95,33,4.28,4,69.34,1007.98,26.22,C
2244.79,58.35,0.05,67.09,1.03,180.3382479,31,0.98,101,50.0243,17.27,18.81,0.94,0.96,30.9,3.73,3,49.15,1020.79,40.254,B
2209.82,84.17,0.72,55.77,1.48,181.2049458,28,0.95,103,50.0639,18.54,28.62,1.24,1.15,28,4.04,4,63.77,1012.82,27.885,B
